device_id,mpn,role,scope,quantity_per_device,unit_price_quantity_100_usd,effective_unit_price_usd,line_burden_per_device_usd,share_of_planning_base_pct,cumulative_planning_base_pct,line_burden_basis,quantity_procurement_target,planning_procurement_line_usd,quantity_ten_devices,planning_ten_devices_line_usd,quantity_historical_capture,historical_capture_displayed_line_usd,historical_capture_route,jlcpcb_part,quantity_100_batch_line_usd,cost_gate
te_1_2118651_0,TE Connectivity 1-2118651-0,three 60-mm nRF RF jumpers / три 60-мм RF-кабеля nRF,base_product,3,1.81,1.8099999999999998,5.43,1.989,44.698,quantity-100,3,5.43,30,54.3,15,,not_matched,,543.0,
esp32_s3_wroom_1u_n16r8,ESP32-S3-WROOM-1U-N16R8,s3,base_product,1,5.108,5.108,5.108,1.871,46.569,quantity-100,1,5.108,10,51.08,5,25.2365,in_stock,C3013946,510.79999999999995,
gct_rfpc_sma32_fn_175_a,GCT RFPC-SMA32-FN-175-A,two native-radio RP-SMA / два RP-SMA native-радио,base_product,2,2.46456,2.46456,4.92912,1.806,48.375,quantity-100,2,4.92912,20,49.2912,10,,not_matched,,492.91200000000003,
ti_tps3808g33_dbvr,TPS3808G33DBVR,"safe_supervisor, u214_supervisor, unit_supervisor, voice_supervisor",base_product,4,1.0984,1.0984,4.3936,1.61,49.985,quantity-100,4,4.3936,40,43.936,20,8.862,in_stock,C43698,439.36,
ti_tpd4e05u06_dqar,Texas Instruments TPD4E05U06DQAR,thirteen four-line ESD arrays / тринадцать четырёхканальных ESD-сборок,base_product,14,0.309,0.309,4.326,1.585,51.569,quantity-100,14,4.326,140,43.26,70,,not_matched,,432.59999999999997,
murata_grm32er71e226ke15l,Murata GRM32ER71E226KE15L,thirteen 22-uF power capacitors / тринадцать силовых конденсаторов 22 мкФ,base_product,13,0.3303,0.3303,4.2939,1.573,53.142,quantity-100,13,4.2939,130,42.939,65,31.668,in_stock,C21397,429.39,
esp32_c5_wroom_1u_n8r8,ESP32-C5-WROOM-1U-N8R8,c5,base_product,1,4.1338,4.1338,4.1338,1.514,54.657,quantity-100,1,4.1338,10,41.338,5,29.2935,in stock; official MPN is unsuffixed and the supplier order code enforces the V1.2 production floor,C54951858,413.38,
adi_max17320_g20_t,Analog Devices MAX17320G20+T,pack_gauge,base_product,1,4.0019,4.0019,4.0019,1.466,56.123,quantity-100,1,4.0019,10,40.019,5,31.0585,pre_order,C7457895,400.19,
hirose_fx8c_80s_sv5_92,Hirose FX8C-80S-SV5(92),80-contact RF-side interboard receptacle / 80-контактная межплатная розетка RF,base_product,1,3.9133,3.9133,3.9133,1.434,57.556,quantity-100,1,3.9133,10,39.133,5,,not_matched,,391.33,
te_2118651_2,TE Connectivity 2118651-2,two 30-mm S3/C5 RF jumpers / два 30-мм RF-кабеля S3/C5,base_product,2,1.8211,1.8211,3.6422,1.334,58.891,quantity-100,2,3.6422,20,36.422,10,,not_matched,,364.21999999999997,
ti_bq25798_rqmr,Texas Instruments BQ25798RQMR,nvdc_charger,base_product,1,3.514,3.514,3.514,1.287,60.178,quantity-100,1,3.514,10,35.14,5,14.632,in_stock,C2876593,351.4,
alps_ec11e18244au,Alps Alpine EC11E18244AU,encoder,base_product,1,3.288,3.288,3.288,1.205,61.382,quantity-100,1,3.288,10,32.879999999999995,5,11.1895,in_stock,C202365,328.79999999999995,
hirose_fx8c_80p_sv1_92,Hirose FX8C-80P-SV1(92),80-contact UI-side interboard plug / 80-контактная межплатная вилка UI,base_product,1,3.1759,3.1759,3.1759,1.163,62.546,quantity-100,1,3.1759,10,31.759,5,23.4745,pre_order,C7197102,317.59,
ttm_dc2337j5010ahf,TTM Technologies DC2337J5010AHF,"nrf0_coupler, nrf1_coupler, nrf2_coupler",base_product,3,1.0291,1.0291,3.0873,1.131,63.677,quantity-100,3,3.0873,30,30.872999999999998,15,20.4135,pre_order,C509396,308.73,
cc1101rgpr,CC1101RGPR,cc,base_product,1,3.0358,3.0358,3.0358,1.112,64.789,quantity-100,1,3.0358,10,30.358,5,8.4205,in_stock,C29953,303.58,
rp2354b_a4,SC1512-A4,rp,base_product,2,1.4927,1.4927,2.9854,1.094,65.883,quantity-100,2,2.9854,20,29.854,10,14.927,"in stock; two fitted per device, with received A4 marking retained as an incoming gate",C39843328,298.53999999999996,
littelfuse_0451005_mrl,Littelfuse 0451005.MRL,"pack_fuse0, pack_fuse1",base_product,2,1.4488,1.4488,2.8976,1.062,66.944,quantity-100,2,2.8976,20,28.976000000000003,10,3.0468,in_stock,C48467,289.76,
hirose_dm3at_sf_pejm5,Hirose DM3AT-SF-PEJM5,sd,base_product,1,2.5656,2.5656,2.5656,0.94,67.884,quantity-100,1,2.5656,10,25.656,5,6.951,in_stock,C114218,256.56,
samtec_hle_107_02_g_dv_pe_lc,Samtec HLE-107-02-G-DV-PE-LC,u214_connector,base_product,1,2.542,2.542,2.542,0.931,68.815,quantity-100,1,2.542,10,25.419999999999998,5,35.833,pre_order,C5649644,254.2,
pui_as02404po,PUI Audio AS02404PO,speaker,base_product,1,2.5294,2.5294,2.5294,0.927,69.742,quantity-100,1,2.5294,10,25.293999999999997,5,,not_matched,,252.94,
ti_tlv1824_pwr,TLV1824PWR,"evidence_cmp_a, evidence_cmp_b",base_product,2,1.0518,1.0518,2.1036,0.771,70.513,quantity-100,2,2.1036,20,21.036,10,,not_matched,,210.36,
ti_tca9534a_pwr,TCA9534APWR,"headset_control_io, voice_band_io",base_product,2,1.0212,1.0212,2.0424,0.748,71.261,quantity-100,2,2.0424,20,20.424000000000003,10,7.657,in_stock,C206010,204.24,
ti_tps259470l_rpwr,Texas Instruments TPS259470LRPWR,"ext_efuse, unit_efuse",base_product,2,1.0196,1.0196,2.0392,0.747,72.008,quantity-100,2,2.0392,20,20.392000000000003,10,9.127,in_stock,C3662793,203.92000000000002,
tca4307dgkr,TCA4307DGKR,u214_i2c_iso,base_product,1,2.0137,2.0137,2.0137,0.738,72.745,quantity-100,1,2.0137,10,20.137,5,12.5045,in_stock,C880333,201.37,
yageo_rc0402fr_0710kl,Yageo RC0402FR-0710KL,"any_tx_aon_pullup, audio_arm_pulldown, audio_capture_sel_pulldown, audio_rx_sel_pulldown, audio_speaker_req_pulldown, audio_speaker_safe_pulldown, audio_tx_req_pulldown, audio_tx_safe_pulldown, backlight_fault_pullup, backlight_gate_pulldown, c5_boot_pullup, c5_dbg_id0_strap, c5_dbg_id1_strap, c5_detector_feedback_res, c5_detector_ground_res, c5_evidence_main_pullup, c5_evidence_output_pullup, c5_evidence_threshold_bottom, c5_gpio27_pullup, c5_reset_pullup, cc_band_v1_host_pulldown, cc_band_v2_host_pulldown, cc_evidence_hold_pulldown, cc_evidence_output_pullup, cc_evidence_threshold_bottom, cc_host_csn_pullup, cc_host_gdo0_pulldown, cc_host_gdo2_pulldown, cc_host_sclk_pulldown, cc_host_si_pulldown, cc_host_so_pulldown, cc_power_on_pulldown, cc_switch_a_v1_pulldown, cc_switch_a_v2_pulldown, cc_switch_b_v1_pulldown, cc_switch_b_v2_pulldown, charger_ce_pullup, charger_int_pullup, codec_ce_pullup, codec_power_on_pulldown, display_reset_pulldown, evidence_mask_p12_pulldown, evidence_mask_p13_pulldown, evidence_mask_p14_pulldown, evidence_mask_p15_pulldown, evidence_mask_p16_pulldown, evidence_mask_p17_pulldown, evidence_mask_scl_pullup, evidence_mask_sda_pullup, ext_any_req_pulldown, ext_en_pulldown, ext_evidence_input_pullup, ext_evidence_output_pullup, ext_pg_pullup, fault_assert_pullup, headphone_tip_detect_pullup, headset_detect_series, ir_carrier_host_pullup, ir_demod_host_pullup, ir_evidence_main_pullup, ir_evidence_output_pullup, ir_evidence_vref_bottom, ir_power_on_pulldown, ir_tx_carrier_pulldown, ir_tx_gate_pulldown, lcd_host_cs_pullup, nrf0_evidence_output_pullup, nrf0_evidence_threshold_bottom, nrf0_host_ce_pulldown, nrf0_host_csn_pullup, nrf0_host_irq_pullup, nrf0_host_miso_pulldown, nrf0_host_mosi_pulldown, nrf0_host_sck_pulldown, nrf0_module_ce_pulldown, nrf0_module_csn_pullup, nrf0_module_irq_pullup, nrf0_module_miso_pulldown, nrf0_module_mosi_pulldown, nrf0_module_sck_pulldown, nrf1_evidence_output_pullup, nrf1_evidence_threshold_bottom, nrf1_host_ce_pulldown, nrf1_host_csn_pullup, nrf1_host_irq_pullup, nrf1_host_miso_pulldown, nrf1_host_mosi_pulldown, nrf1_host_sck_pulldown, nrf1_module_ce_pulldown, nrf1_module_csn_pullup, nrf1_module_irq_pullup, nrf1_module_miso_pulldown, nrf1_module_mosi_pulldown, nrf1_module_sck_pulldown, nrf2_evidence_output_pullup, nrf2_evidence_threshold_bottom, nrf2_host_ce_pulldown, nrf2_host_csn_pullup, nrf2_host_irq_pullup, nrf2_host_miso_pulldown, nrf2_host_mosi_pulldown, nrf2_host_sck_pulldown, nrf2_module_ce_pulldown, nrf2_module_csn_pullup, nrf2_module_irq_pullup, nrf2_module_miso_pulldown, nrf2_module_mosi_pulldown, nrf2_module_sck_pulldown, nrf_evidence_hold_pulldown, nrf_power_on_pulldown, pack_alrt_pullup, pack_diag_gate_pulldown, pack_diag_trigger_pulldown, pack_gauge_scl_pullup, pack_gauge_sda_pullup, pack_hold_pullup, pack_hold_release_pulldown, pack_irq_gate_pulldown, pack_pfail_pullup, pd_eeprom_wp_pullup, power_fault_pullup, power_zone_temp_pullup, product_usb_fault_pullup, ptt_pullup, receiver_irq_pullup, receiver_power_on_pulldown, receiver_senb_pulldown, rf_zone_temp_pullup, rp_any_tx_main_pullup, rp_boot_pullup, rp_dbg_id0_strap, rp_dbg_id1_strap, rp_reset_pullup, run_loop_pullup, s3_boot_pullup, s3_dbg_id0_strap, s3_dbg_id1_strap, s3_detector_feedback_res, s3_detector_ground_res, s3_evidence_output_pullup, s3_evidence_threshold_bottom, s3_reset_gate_pullup, s3_reset_pullup, safe_c5_reset_gate_pullup, safe_latch_d_pullup, safe_por_pullup, safe_reset_gate_pullup, safety_fault_request_pulldown, safety_watchdog_mr_pullup, safety_watchdog_wdi_pulldown, safety_watchdog_wdo_pullup, sd_card_cmd_pullup, sd_card_dat0_pullup, sd_card_dat1_pullup, sd_card_dat2_pullup, sd_card_dat3_pullup, sd_detect_pullup, sd_host_cs_pullup, sd_host_d0_pulldown, sd_host_d1_pullup, sd_host_sck_pulldown, sd_on_pulldown, si_audio_l_sum, si_audio_r_sum, slow_io_fault_sense_pullup, slow_io_reset_pullup, slow_io_s3_evidence_pullup, speaker_amp_enable_pulldown, sys_int_pullup, touch_irq_pullup, touch_reset_pulldown, u214_req_pulldown, u214_supervisor_pullup, ui_input_down_pullup, ui_input_left_pullup, ui_input_ok_pullup, ui_input_right_pullup, ui_input_up_pullup, ui_zone_temp_pullup, unit_req_pulldown, unit_signal_iso_oe_pulldown, unit_supervisor_pullup, voice_band_p1_pulldown, voice_band_p2_pulldown, voice_band_p3_pulldown, voice_band_p4_pulldown, voice_band_p5_pulldown, voice_band_p6_pulldown, voice_band_p7_pulldown, voice_band_select_pulldown, voice_efuse_en_pullup, voice_en_pulldown, voice_evidence_hold_pulldown, voice_evidence_output_pullup, voice_evidence_threshold_bottom, voice_hl_req_pulldown, voice_pg_pullup, voice_ptt_pullup, voice_rx_series, voice_supervisor_pullup, voice_v_evidence_hold_pulldown, voice_v_evidence_threshold_bottom, voice_v_ptt_pullup",base_product,207,0.0097,0.009700000000000002,2.0079000000000002,0.736,73.481,quantity-100,207,2.0079000000000002,2070,20.079,1035,3.589,in_stock,C60490,200.79000000000002,
alps_skrtlae010,Alps Alpine SKRTLAE010,"c5_boot_button, c5_reset_button, rp_boot_button, rp_reset_button, s3_boot_button, s3_reset_button",base_product,8,0.2433,0.2433,1.9464,0.713,74.194,quantity-100,8,1.9464,80,19.464,40,4.6176,in_stock,C110293,194.64,
nexperia_74lvc2g126dp_125,"Nexperia 74LVC2G126DP,125","cc_band_buffer, ir_return_buffer, nrf0_return_buffer, nrf1_return_buffer, nrf2_return_buffer",base_product,5,0.3753,0.3753,1.8765,0.687,74.882,quantity-100,5,1.8765,50,18.765,25,12.1425,in stock; 10-piece price tier for the 25-piece trial requirement,C503392,187.65,
ti_tps25751d_refr,Texas Instruments TPS25751DREFR,pd_controller,base_product,1,1.8384,1.8384,1.8384,0.673,75.555,quantity-100,1,1.8384,10,18.384,5,12.667,in_stock,C30169739,183.84,
yageo_cc0402krx7r9bb104,Yageo CC0402KRX7R9BB104,147 stocked 100-nF bypass capacitors / 147 складских развязывающих конденсаторов 100 нФ,base_product,162,0.0107,0.0107,1.7333999999999998,0.635,76.19,quantity-100,162,1.7333999999999998,1620,17.334,810,5.9535,in stock; 500-piece price tier for the 735-piece trial requirement,C131394,173.33999999999997,
gct_usb4105_gf_a,GCT USB4105-GF-A,"c5_service_usb_connector, rp_service_usb_connector",base_product,3,0.5745,0.5745,1.7235,0.631,76.821,quantity-100,3,1.7235,30,17.235,15,8.607,in_stock,C3020560,172.35,
tca6424argjr,TCA6424ARGJR,slow_io,base_product,1,1.7001,1.7001,1.7001,0.623,77.444,quantity-100,1,1.7001,10,17.000999999999998,5,6.09,in_stock,C80692,170.01,
skyworks_si4732_a10_gsr,Si4732-A10-GSR,receiver,base_product,1,1.6785,1.6785,1.6785,0.615,78.059,quantity-100,1,1.6785,10,16.785,5,14.3075,in_stock,C2155558,167.85000000000002,
ti_mspm0c1106_sdgs20r,Texas Instruments MSPM0C1106SDGS20R,"pack_admission, safety_controller",base_product,2,0.8384,0.8384,1.6768,0.614,78.673,quantity-100,2,1.6768,20,16.768,10,11.969000000000001,pre_order,C52995805,167.68,
ti_tps25974l_rpwr,Texas Instruments TPS25974LRPWR,"main_efuse, voice_efuse",base_product,2,0.7929,0.7929,1.5858,0.581,79.254,quantity-100,2,1.5858,20,15.858,10,8.656,in_stock,C3662931,158.58,
ti_tlv1821_dckr,TLV1821DCKR,"evidence_cmp_voice, evidence_cmp_voice_v",base_product,2,0.744,0.744,1.488,0.545,79.799,quantity-100,2,1.488,20,14.879999999999999,10,,not_matched,,148.8,
ti_tps3435cakagddfr,Texas Instruments TPS3435CAKAGDDFR,safety_watchdog,base_product,1,1.476,1.476,1.476,0.541,80.34,quantity-100,1,1.476,10,14.76,5,13.3575,in_stock,C6339182,147.6,
murata_grm31cr71e106ma12l,Murata GRM31CR71E106MA12L,"charger_bat_cap0, charger_bat_cap1, charger_pmid_cap0, charger_pmid_cap1, charger_pmid_cap2, charger_sys_cap0, charger_sys_cap1, charger_sys_cap2, charger_sys_cap3, charger_sys_cap4, charger_vbus_cap0, charger_vbus_cap1",base_product,12,0.1224,0.1224,1.4687999999999999,0.538,80.878,quantity-100,12,1.4687999999999999,120,14.687999999999999,60,12.3194,pre_order,C440205,146.88,
tdk_c1608x7r1c105k080ac,TDK C1608X7R1C105K080AC,"audio_capture_input_coupling, audio_capture_local_bias_cap, audio_capture_mic_coupling, audio_capture_rx_coupling, audio_vmid_cap, cc_evidence_hold_cap, cc_local_bulk_cap, cc_power_input_cap, codec_adc_n_coupling, codec_adc_p_coupling, codec_adcvref_cap, codec_dacvref_cap, codec_power_input_cap, codec_tx_coupling, codec_vmid_cap, ir_power_input_cap, mic_tx_coupling, nrf_evidence_hold_cap, nrf_power_input_cap, pack_diag_lockout_cap, product_usb_vpwr_cap, receiver_power_input_cap, s3_reset_delay_cap, sd_power_input_cap, si_audio_l_coupling, si_audio_r_coupling, slow_io_bulk_cap, speaker_amp_input_cap, speaker_input_n_coupling, speaker_input_p_coupling, voice_evidence_hold_cap, voice_io_power_input_cap, voice_io_power_output_cap, voice_mic_coupling, voice_rx_coupling, voice_v_evidence_hold_cap, voice_v_mic_coupling",base_product,37,0.0392,0.0392,1.4504,0.531,81.41,quantity-100,37,1.4504,370,14.504,185,9.8766,pre_order,C2167399,145.04,
onsemi_fsusb42_mux,onsemi FSUSB42MUX,"c5_service_usb_switch, rp_service_usb_switch",base_product,3,0.4663,0.4663,1.3989,0.512,81.922,quantity-100,3,1.3989,30,13.989,15,3.177,in_stock,C11355,139.89000000000001,
ti_tpd8e003_dqdr,Texas Instruments TPD8E003DQDR,"front_function_esd, ui_matrix_esd",base_product,2,0.6445,0.6445,1.289,0.472,82.394,quantity-100,2,1.289,20,12.889999999999999,10,9.273,in_stock,C2867469,128.9,
ti_tpd2eusb30a_drtr,Texas Instruments TPD2EUSB30ADRTR,"c5_service_usb_esd, rp_service_usb_esd",base_product,3,0.4219,0.4219,1.2657,0.464,82.858,quantity-100,3,1.2657,30,12.657,15,,not_matched,,126.57000000000001,
jae_dx07s016ja1r1500,JAE DX07S016JA1R1500,product_usb_connector,base_product,1,1.2272,1.2272,1.2272,0.45,83.307,quantity-100,1,1.2272,10,12.272,5,3.451,in_stock,C3197885,122.72000000000001,
vishay_tsop75238tr,Vishay TSOP75238TR,ir_demod,base_product,1,1.2231,1.2231,1.2231,0.448,83.756,quantity-100,1,1.2231,10,12.231000000000002,5,6.5055,thin public stock covers the five-device trial only; recheck complete-job stock or pre-order exact C511498,C511498,122.31,
ti_tca9535_pwr,TCA9535PWR,evidence_mask,base_product,1,1.1915,1.1915,1.1915,0.436,84.192,quantity-100,1,1.1915,10,11.915,5,8.534,in_stock,C130204,119.15,
littelfuse_sesd0402x1un_0020_090,Littelfuse SESD0402X1UN-0020-090,"cc_rf_esd, receiver_ami_esd, receiver_fmi_esd",base_product,3,0.3794,0.3794,1.1382,0.417,84.609,quantity-100,3,1.1382,30,11.382000000000001,15,2.985,in_stock,C1973340,113.82000000000001,
nexperia_74lvc126apw_118,"Nexperia 74LVC126APW,118","cc_host_buffer, cc_return_buffer, nrf0_host_buffer, nrf1_host_buffer, nrf2_host_buffer, u214_host_buffer_a, u214_host_buffer_b, u214_return_buffer",base_product,8,0.1341,0.1341,1.0728,0.393,85.002,quantity-100,8,1.0728,80,10.728,40,13.968,pre_order,C2442297,107.28,
vishay_tsmp95000tt,Vishay TSMP95000TT,ir_carrier,base_product,1,1.06,1.06,1.06,0.388,85.39,quantity-100,1,1.06,10,10.600000000000001,5,,not_matched,,106.0,
vishay_wsl25125l000fea,Vishay WSL25125L000FEA,pack_shunt,base_product,1,1.06,1.06,1.06,0.388,85.779,quantity-100,1,1.06,10,10.600000000000001,5,2.208,in_stock,C844900,106.0,
ti_tca9539_pwr,TCA9539PWR,ui_matrix_io,base_product,1,1.0196,1.0196,1.0196,0.374,86.152,quantity-100,1,1.0196,10,10.196000000000002,5,,not_matched,,101.96000000000001,
ttm_b0310j50100ahf,TTM Technologies B0310J50100AHF,cc_balun,base_product,1,0.9929,0.9929,0.9929,0.364,86.516,quantity-100,1,0.9929,10,9.929,5,,not_matched,,99.29,
davies_1227_j,Davies Molding 1227-J,encoder_knob,base_product,1,0.972,0.972,0.972,0.356,86.872,quantity-100,1,0.972,10,9.719999999999999,5,,not_matched,,97.2,
same_sky_sj_43504_smt_tr,Same Sky SJ-43504-SMT-TR,headphone_jack,base_product,1,0.9304,0.9304,0.9304,0.341,87.213,quantity-100,1,0.9304,10,9.304,5,11.2055,in_stock,C20182908,93.04,
ti_tps564252_drlr,Texas Instruments TPS564252DRLR,"ext_buck, main_buck, voice_buck",base_product,3,0.2953,0.2953,0.8859,0.325,87.537,quantity-100,3,0.8859,30,8.859,15,5.9445,in_stock,C19191267,88.59,
kyocera_avx_cp0603q5425entr,KYOCERA AVX CP0603Q5425ENTR,"c5_rf_coupler, s3_rf_coupler",base_product,2,0.4271,0.4271,0.8542,0.313,87.85,quantity-100,2,0.8542,20,8.542,10,9.052,pre_order,C2654257,85.42,
ti_tps22919_dckr,Texas Instruments TPS22919DCKR,"cc_power_switch, codec_power_switch, ir_power_switch, nrf_power_switch, receiver_power_switch, sd_power_switch, voice_io_power_switch",base_product,7,0.1189,0.1189,0.8323,0.305,88.155,quantity-100,7,0.8323,70,8.323,35,4.207,in_stock,C2149796,83.23,
ti_sn74lvc3g07_dcur,SN74LVC3G07DCUR,"evidence_main_isolator, safe_fault_reset_buffer",base_product,2,0.4087,0.4087,0.8174,0.299,88.455,quantity-100,2,0.8174,20,8.174,10,4.45,in_stock,C131955,81.74,
abracon_abm8_272_t3,Abracon ABM8-272-T3,rp_clock,base_product,2,0.4085,0.4085,0.817,0.299,88.754,quantity-100,2,0.817,20,8.17,10,1.8045,in_stock,C20625731,81.69999999999999,
murata_grm21br60j226me39l,Murata GRM21BR60J226ME39L,"headphone_l_coupling0, headphone_l_coupling1, headphone_r_coupling0, headphone_r_coupling1, s3_supply_bulk, sd_power_bulk_cap",base_product,6,0.1341,0.1341,0.8046,0.295,89.049,quantity-100,6,0.8046,60,8.046,30,3.5264,in_stock,C77071,80.46,
ti_tlv9061_idbvr,TLV9061IDBVR,"audio_capture_buffer, ir_evidence_amp",base_product,2,0.394,0.394,0.788,0.289,89.337,quantity-100,2,0.788,20,7.880000000000001,10,1.2264,in_stock,C398358,78.8,
ti_tps3839k33_dbzr,Texas Instruments TPS3839K33DBZR,"codec_supervisor, receiver_supervisor",base_product,2,0.394,0.394,0.788,0.289,89.626,quantity-100,2,0.788,20,7.880000000000001,10,6.399,in_stock,C96333,78.8,
ti_sn74lvc2g66_dcur,Texas Instruments SN74LVC2G66DCUR,"codec_i2c_iso, receiver_i2c_iso",base_product,2,0.393,0.393,0.786,0.288,89.914,quantity-100,2,0.786,20,7.86,10,6.87,in_stock,C181970,78.60000000000001,
ck_js102011scqn,C&K JS102011SCQN,power_command_switch,base_product,1,0.7823,0.7823,0.7823,0.287,90.201,quantity-100,1,0.7823,10,7.823,5,9.151,in_stock,C221661,78.23,
ti_tpd4s201_rukr,Texas Instruments TPD4S201RUKR,product_usb_protector,base_product,1,0.7713,0.7713,0.7713,0.283,90.483,quantity-100,1,0.7713,10,7.713,5,10.426,in_stock,C49438759,77.13,
ti_csd87313dms,Texas Instruments CSD87313DMS,pack_power_fet,base_product,1,0.7651,0.7651,0.7651,0.28,90.763,quantity-100,1,0.7651,10,7.651,5,5.279,in stock; DMS changes only tape-and-reel quantity from the former DMST code,C2863848,76.51,
hirose_df40c_40dp_0_4v_51,Hirose DF40C-40DP-0.4V(51),display_adapter_plug,base_product,1,0.726,0.726,0.726,0.266,91.029,quantity-100,1,0.726,10,7.26,5,2.3065,in_stock,C424643,72.6,
tdk_c1005x5r0j475k050bc,TDK C1005X5R0J475K050BC,"rp_dvdd_remote_bulk, rp_vreg_avdd_filter_cap, rp_vreg_output_bulk, rp_vreg_vin_bulk",base_product,8,0.0903,0.0903,0.7224,0.265,91.294,quantity-100,8,0.7224,80,7.224,40,8.9815,pre_order,C2167436,72.24000000000001,
murata_grm188r60j106me47d,Murata GRM188R60J106ME47D,"aon_efuse_output_cap, backlight_efuse_output_bulk, codec_power_output_cap, display_logic_bulk_cap, headset_microphone_bias_filter_cap, ir_power_output_cap, main_efuse_output_cap, microphone_bias_filter_cap, nrf0_module_bulk_cap, nrf1_module_bulk_cap, nrf2_module_bulk_cap, pack_admission_bulk_cap, pd_ldo1v5_cap, pd_ldo3v3_cap, pd_vin_cap, receiver_power_output_cap, safety_controller_bulk, speaker_amp_bulk_cap, voice_efuse_output_cap",base_product,19,0.0377,0.0377,0.7162999999999999,0.262,91.556,quantity-100,19,0.7162999999999999,190,7.162999999999999,95,7.1715,in_stock,C77041,71.63,
onsemi_cat24c512wi_gt3,onsemi CAT24C512WI-GT3,pd_config_eeprom,base_product,1,0.7133,0.7133,0.7133,0.261,91.818,quantity-100,1,0.7133,10,7.133000000000001,5,3.2075,in_stock,C79986,71.33,
ti_ts5a63157_dckr,Texas Instruments TS5A63157DCKR,"audio_capture_selector, audio_tx_selector, headset_mic_selector",base_product,3,0.233,0.233,0.6990000000000001,0.256,92.074,quantity-100,3,0.6990000000000001,30,6.99,15,4.3605,in_stock,C133575,69.9,
